country,region,tier1,us_dependence,us_dependence_2010,us_dependence_2011,us_dependence_2012,us_dependence_2013,us_dependence_2014,us_dependence_2015,us_dependence_2016,us_dependence_2017,us_dependence_2018,us_dependence_2019,us_dependence_2020,us_dependence_2021,us_dependence_2022,us_dependence_2023,us_dependence_2024,us_dependence_2025,us_dependence_2026,us_dependence_2027,us_dependence_2028,us_dependence_2029,us_dependence_2030,china_dependence,china_dependence_2010,china_dependence_2011,china_dependence_2012,china_dependence_2013,china_dependence_2014,china_dependence_2015,china_dependence_2016,china_dependence_2017,china_dependence_2018,china_dependence_2019,china_dependence_2020,china_dependence_2021,china_dependence_2022,china_dependence_2023,china_dependence_2024,china_dependence_2025,china_dependence_2026,china_dependence_2027,china_dependence_2028,china_dependence_2029,china_dependence_2030,economic_dependence,economic_dependence_2010,economic_dependence_2011,economic_dependence_2012,economic_dependence_2013,economic_dependence_2014,economic_dependence_2015,economic_dependence_2016,economic_dependence_2017,economic_dependence_2018,economic_dependence_2019,economic_dependence_2020,economic_dependence_2021,economic_dependence_2022,economic_dependence_2023,economic_dependence_2024,economic_dependence_2025,economic_dependence_2026,economic_dependence_2027,economic_dependence_2028,economic_dependence_2029,economic_dependence_2030,military_dependence,military_dependence_2010,military_dependence_2011,military_dependence_2012,military_dependence_2013,military_dependence_2014,military_dependence_2015,military_dependence_2016,military_dependence_2017,military_dependence_2018,military_dependence_2019,military_dependence_2020,military_dependence_2021,military_dependence_2022,military_dependence_2023,military_dependence_2024,military_dependence_2025,military_dependence_2026,military_dependence_2027,military_dependence_2028,military_dependence_2029,military_dependence_2030,infrastructure_payment_share,infrastructure_payment_share_2010,infrastructure_payment_share_2011,infrastructure_payment_share_2012,infrastructure_payment_share_2013,infrastructure_payment_share_2014,infrastructure_payment_share_2015,infrastructure_payment_share_2016,infrastructure_payment_share_2017,infrastructure_payment_share_2018,infrastructure_payment_share_2019,infrastructure_payment_share_2020,infrastructure_payment_share_2021,infrastructure_payment_share_2022,infrastructure_payment_share_2023,infrastructure_payment_share_2024,infrastructure_payment_share_2025,infrastructure_payment_share_2026,infrastructure_payment_share_2027,infrastructure_payment_share_2028,infrastructure_payment_share_2029,infrastructure_payment_share_2030,classification,source_url,updated
台湾,東アジア,1,8,,,,,,,,,,,,,,,,,8,,,,,8,,,,,,,,,,,,,,,,,8,,,,,9,,,,,,,,,,,,,,,,,9,,,,,8,,,,,,,,,,,,,,,,,8,,,,,8,,,,,,,,,,,,,,,,,8,,,,,両依存,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
韓国,東アジア,1,8,,,,,,,,,,,,,,,,,8,,,,,7,,,,,,,,,,,,,,,,,7,,,,,8,,,,,,,,,,,,,,,,,8,,,,,8,,,,,,,,,,,,,,,,,8,,,,,8,,,,,,,,,,,,,,,,,8,,,,,両依存,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
UAE,中東,1,6,,,,,,,,,,,,,,,,,6,,,,,7,,,,,,,,,,,,,,,,,7,,,,,8,,,,,,,,,,,,,,,,,8,,,,,6,,,,,,,,,,,,,,,,,6,,,,,7,,,,,,,,,,,,,,,,,7,,,,,流動,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
サウジアラビア,中東,1,7,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,7,,,,,8,,,,,,,,,,,,,,,,,8,,,,,7,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,7,,,,,流動,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
オーストラリア,オセアニア / 大洋州,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ブラジル,中南米 / 南アメリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
メキシコ,北アメリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
インドネシア,東南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
マレーシア,東南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
シンガポール,東南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
タイ,東南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ベトナム,東南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
フィリピン,東南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
トルコ,中東,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ポーランド,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
オランダ,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ベルギー,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
スペイン,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
スウェーデン,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ノルウェー,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
デンマーク,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
フィンランド,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
スイス,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
オーストリア,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
チェコ,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ハンガリー,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ルーマニア,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ギリシャ,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ポルトガル,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
アイルランド,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ウクライナ,ヨーロッパ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
イスラエル,中東,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
イラン,中東,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
カタール,中東,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
クウェート,中東,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
オマーン,中東,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
バーレーン,中東,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
エジプト,中東,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
南アフリカ,アフリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ナイジェリア,アフリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
アルジェリア,アフリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
モロッコ,アフリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ケニア,アフリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
エチオピア,アフリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
アルゼンチン,中南米 / 南アメリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
チリ,中南米 / 南アメリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ペルー,中南米 / 南アメリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
コロンビア,中南米 / 南アメリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
パナマ,中南米 / 南アメリカ,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ニュージーランド,オセアニア / 大洋州,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
パキスタン,南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
バングラデシュ,南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
スリランカ,南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
カザフスタン,中央アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ウズベキスタン,中央アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
モンゴル,東アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
ミャンマー,東南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
カンボジア,東南アジア,0,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,Pending,,2026-03-14
